time_fs,mu_x_true,mu_x_pred,m_x_true,m_x_pred,is_train,is_val
6.860157,0.23431581,0.23362607,6.157416e-05,5.534283e-05,0,0
6.8801575,0.2329799,0.2322769,7.556404e-05,6.885935e-05,0,0
6.900158,0.23179069,0.23108336,8.976091e-05,8.241753e-05,0,0
6.9201584,0.23076914,0.23006846,0.00010369968,9.595755e-05,0,0
6.940159,0.22993332,0.22925025,0.00011686799,0.00010917407,0,0
6.9601593,0.22929847,0.2286418,0.00012865284,0.00012156688,0,0
6.9801598,0.22887634,0.22825146,0.00013833212,0.0001324897,0,0
7.00016,0.22867525,0.22808345,0.00014548337,0.0001411759,0,0
7.0201607,0.22869988,0.2281384,0.00014997544,0.00014701652,0,0
7.040161,0.22894996,0.22841407,0.00015160663,0.00014973783,0,0
7.0601616,0.22942021,0.22890535,0.00015025323,0.00014922937,0,0
7.080162,0.23010133,0.22960404,0.00014605788,0.00014547765,0,0
7.1001625,0.23097938,0.23049845,0.00013922156,0.00013866859,0,0
7.120163,0.23203522,0.23157275,0.00012986735,0.0001291299,0,0
7.1401634,0.23324533,0.23280607,0.00011803164,0.000117178744,0,0
7.160164,0.23458359,0.23417206,0.000103726474,0.00010302053,0,0
